VIN,registration_id,city_id,county,city_name,state,postal_code,year,make,model_id,model_name,electric_vehicle_type_id,electric_vehicle_type_description,CAFV_Eligibility,electric_range,base_MSRP,Legislative District,DOL_vehicle_id,location_id,longitude ,latitude,electric_utility_id,electric_utility_name,manufacturer_id,manufacturer_name,2020 Census Tract
1C4JJXP60M,1,1,Spokane,Spokane,WA,99217,2021,JEEP,1,WRANGLER,1,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,6,154994794,1,-117.37056,47.70402,1,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,1,Chrysler,53063011204
1C4JJXP60M,2,2,Spokane,Spokane,WA,99203,2021,JEEP,2,WRANGLER,2,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,6,198741574,2,-117.37056,47.70402,2,MODERN ELECTRIC WATER COMPANY,2,Chrysler,53063004300
1C4JJXP60M,3,3,Benton,Kennewick,WA,99337,2021,JEEP,3,WRANGLER,3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,8,185498092,3,-117.37056,47.70402,3,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,3,Chrysler,53005011505
1C4JJXP60M,4,4,Benton,Richland,WA,99352,2021,JEEP,4,WRANGLER,4,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,8,213430752,4,-117.37056,47.70402,4,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),4,Chrysler,53005010819
1C4JJXP60M,5,5,Benton,Kennewick,WA,99338,2021,JEEP,5,WRANGLER,5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,8,170705062,5,-117.37056,47.70402,5,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,5,Chrysler,53005010815
1C4JJXP60M,6,6,Douglas,East Wenatchee,WA,98802,2021,JEEP,6,WRANGLER,6,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,12,161128621,6,-117.37056,47.70402,6,PUD NO 1 OF DOUGLAS COUNTY,6,Chrysler,53017950300
1C4JJXP60M,7,7,King,Redmond,WA,98053,2021,JEEP,7,WRANGLER,7,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,45,182238129,7,-117.37056,47.70402,7,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,Chrysler,53033032332
1C4JJXP60M,8,8,King,Sammamish,WA,98075,2021,JEEP,8,WRANGLER,8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,41,185952287,8,-117.37056,47.70402,8,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,Chrysler,53033032221
1C4JJXP60M,9,9,Snohomish,Lake Stevens,WA,98258,2021,JEEP,9,WRANGLER,9,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,44,202424092,9,-117.37056,47.70402,9,PUGET SOUND ENERGY INC,9,Chrysler,53061052505
1C4JJXP60M,10,10,King,Renton,WA,98058,2021,JEEP,10,WRANGLER,10,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,11,154905880,10,-122.08747,47.4466,10,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,Chrysler,53033031910
